date,AOD_x,AOD_y,mean
2010-01-06,0.1351014492753623,0.179625,0.15736322463768115
2010-01-10,0.247,0.472,0.3595
2010-01-13,0.137,0.0,0.137
2010-01-14,0.0,0.215,0.215
2010-01-18,0.4165,0.0,0.4165
2010-01-19,0.1965714285714286,0.0,0.1965714285714286
2010-01-20,0.2372058823529411,0.0,0.2372058823529411
2010-01-26,0.0,0.5545,0.5545
2010-01-28,0.0,0.1458,0.1458
2010-01-29,0.1818805970149253,0.0,0.1818805970149253
2010-01-31,0.275,0.0,0.275
2010-02-03,0.288,0.0,0.288
2010-02-04,0.2355,0.343,0.28925
2010-02-05,0.41625,0.0,0.41625
2010-02-12,0.28425,0.0,0.28425
2010-02-13,0.0,0.314,0.314
2010-02-14,0.0938823529411764,0.286,0.1899411764705882
2010-02-16,0.2803846153846153,0.2977083333333333,0.2890464743589743
2010-02-18,0.33,0.0,0.33
2010-02-19,0.32,0.0,0.32
2010-02-25,0.3595,0.0,0.3595
2010-03-02,0.1734193548387096,0.0,0.1734193548387096
2010-03-03,0.0,0.2424285714285714,0.2424285714285714
2010-03-04,0.499,0.0,0.499
2010-03-09,0.258,0.0,0.258
2010-03-11,0.4216666666666667,0.4051578947368421,0.4134122807017544
2010-03-13,0.2590714285714285,0.294,0.2765357142857142
2010-03-16,0.2064444444444444,0.0,0.2064444444444444
2010-03-18,0.16825,0.03,0.099125
2010-03-22,0.2003333333333333,0.2227608695652174,0.21154710144927535
2010-03-29,0.374,0.197,0.2855
2010-04-03,0.193,0.0,0.193
2010-04-05,0.4405454545454546,0.0,0.4405454545454546
2010-04-14,0.176076923076923,0.773,0.4745384615384615
2010-04-17,0.1065,0.0,0.1065
2010-04-19,0.1296578947368421,0.0,0.1296578947368421
2010-04-25,0.1376666666666666,0.0,0.1376666666666666
2010-04-26,0.2849655172413793,0.0,0.2849655172413793
2010-04-30,0.2822,0.0,0.2822
2010-05-02,0.0,0.399,0.399
2010-05-04,0.195,0.215,0.20500000000000002
2010-05-05,0.3038888888888889,0.2565,0.2801944444444444
2010-05-06,0.0,0.2826666666666667,0.2826666666666667
2010-05-07,0.1524242424242424,0.22,0.18621212121212122
2010-05-09,0.21964,0.1551111111111111,0.18737555555555555
2010-05-14,0.268875,0.0,0.268875
2010-05-16,0.1592608695652174,0.0,0.1592608695652174
2010-05-18,0.1181538461538461,0.325,0.22157692307692306
2010-05-20,0.0,0.299,0.299
2010-05-23,0.2465,0.257047619047619,0.2517738095238095
2010-05-25,0.1961904761904762,0.382,0.28909523809523807
2010-06-01,0.1436,0.0,0.1436
2010-06-02,0.1216666666666666,0.0,0.1216666666666666
2010-06-03,0.1478333333333333,0.3427,0.24526666666666663
2010-06-04,0.1693636363636363,0.0,0.1693636363636363
2010-06-06,0.1345681818181818,0.0,0.1345681818181818
2010-06-07,0.0,0.1653333333333333,0.1653333333333333
2010-06-08,0.0,0.3224545454545454,0.3224545454545454
2010-06-10,0.2692222222222222,0.119,0.1941111111111111
2010-06-12,0.2344117647058823,0.0,0.2344117647058823
2010-06-13,0.1595555555555555,0.1421333333333333,0.1508444444444444
2010-06-14,0.0,0.1857027027027027,0.1857027027027027
2010-06-15,0.0,0.452,0.452
2010-06-17,0.1903333333333333,0.3135,0.2519166666666667
2010-06-18,0.1126666666666666,0.0,0.1126666666666666
2010-06-19,0.0,0.482,0.482
2010-06-20,0.1011538461538461,0.0,0.1011538461538461
2010-06-21,0.0,0.0887717391304347,0.0887717391304347
2010-06-23,0.0,0.0711041666666666,0.0711041666666666
2010-06-24,0.1921428571428571,0.105,0.14857142857142855
2010-06-25,0.14075,0.0,0.14075
2010-06-26,0.0,0.5096875,0.5096875
2010-06-27,0.0666428571428571,0.050475,0.05855892857142855
2010-06-28,0.08975,0.081905303030303,0.0858276515151515
2010-06-29,0.1046060606060606,0.0639166666666666,0.0842613636363636
2010-07-01,0.4315,0.0,0.4315
2010-07-03,0.174326923076923,0.314,0.2441634615384615
2010-07-05,0.2418,0.0,0.2418
2010-07-06,0.245,0.1613333333333333,0.20316666666666666
2010-07-07,0.0,0.0762841530054644,0.0762841530054644
2010-07-08,0.15084375,0.0597272727272727,0.10528551136363634
2010-07-09,0.0,0.04603738317757,0.04603738317757
2010-07-10,0.0,0.4536666666666667,0.4536666666666667
2010-07-12,0.236076923076923,0.4268,0.3314384615384615
2010-07-13,0.2618,0.0,0.2618
2010-07-14,0.0,0.15946,0.15946
2010-07-17,0.6442000000000001,0.0,0.6442000000000001
2010-07-21,0.0,0.1708556701030928,0.1708556701030928
2010-07-22,0.2020909090909091,0.0,0.2020909090909091
2010-07-23,0.0,0.22,0.22
2010-07-24,0.2478260869565217,0.1225354330708661,0.1851807600136939
2010-07-25,0.0,0.1692727272727273,0.1692727272727273
2010-07-26,0.1287914110429447,0.1375307262569832,0.13316106864996397
2010-07-28,0.313,0.4215,0.36724999999999997
2010-07-29,0.2613720930232558,0.1896666666666666,0.2255193798449612
2010-07-30,0.0,0.346,0.346
2010-07-31,0.303,0.283090909090909,0.2930454545454545
2010-08-01,0.0,0.1902945205479452,0.1902945205479452
2010-08-02,0.1497905759162303,0.1657673469387755,0.15777896142750292
2010-08-03,0.0,0.2780350877192982,0.2780350877192982
2010-08-04,0.4378666666666667,0.4643636363636363,0.45111515151515147
2010-08-05,0.4641428571428572,0.0,0.4641428571428572
2010-08-06,0.4253125,0.0,0.4253125
2010-08-07,0.5013333333333333,0.0,0.5013333333333333
2010-08-09,0.7261538461538461,0.4323712574850299,0.5792625518194381
